iteration,rand01,epsilon,strategy,choice,cr1,cr2,cr3,cr4,cr5,mu1,mu2,mu3,mu4,mu5,n1,n2,n3,n4,n5
0,NA,1,,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3311260440386832,0.969753393,EXPLOIT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.0021511362865567207,0.964520714,EXPLOIT,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,0.01811916590668261,0.9593019629999999,EXPLOIT,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
4,0.5640031539369375,0.9540971399999999,EXPLOIT,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
5,0.575543045764789,0.948906245,EXPLOIT,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
6,0.3705786527134478,0.9437292780000001,EXPLOIT,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0
7,0.5230631767772138,0.938566239,EXPLOIT,2,0,1,0,0,0,0,0.25,0,0,0,0,4,1,2,0
8,0.5121327987872064,0.933417128,explore,5,0,1,0,0,0,0,0.25,0,0,0,0,4,1,2,1
9,0.746540155261755,0.9282819449999999,explore,1,0,1,0,0,0,0,0.25,0,0,0,1,4,1,2,1
10,0.8846607368905097,0.92316069,explore,4,0,1,0,0,0,0,0.25,0,0,0,1,4,1,3,1
11,0.5980415684171021,0.918053363,explore,3,0,1,0,0,0,0,0.25,0,0,0,1,4,2,3,1
12,0.24685389851219952,0.9129599639999999,explore,4,0,1,0,1,0,0,0.25,0,0.25,0,1,4,2,4,1
13,0.03495560120791197,0.907880493,explore,5,0,1,0,1,0,0,0.25,0,0.25,0,1,4,2,4,2
14,0.13451365800574422,0.9028149499999999,explore,3,0,1,1,1,0,0,0.25,0.3333333333333333,0.25,0,1,4,3,4,2
15,0.6018802924081683,0.897763335,explore,5,0,1,1,1,0,0,0.25,0.3333333333333333,0.25,0,1,4,3,4,3
16,0.29348762100562453,0.892725648,explore,4,0,1,1,1,0,0,0.25,0.3333333333333333,0.2,0,1,4,3,5,3
17,0.4276110257487744,0.887701889,explore,2,0,1,1,1,0,0,0.2,0.3333333333333333,0.2,0,1,5,3,5,3
18,0.837238781619817,0.882692058,explore,4,0,1,1,1,0,0,0.2,0.3333333333333333,0.16666666666666666,0,1,5,3,6,3
19,0.3313017310574651,0.877696155,explore,5,0,1,1,1,0,0,0.2,0.3333333333333333,0.16666666666666666,0,1,5,3,6,4
20,0.5320352215785533,0.87271418,explore,4,0,1,1,1,0,0,0.2,0.3333333333333333,0.14285714285714285,0,1,5,3,7,4
21,0.3038708153180778,0.8677461329999999,explore,2,0,1,1,1,0,0,0.16666666666666666,0.3333333333333333,0.14285714285714285,0,1,6,3,7,4
22,0.13225046661682427,0.8627920139999999,explore,5,0,1,1,1,1,0,0.16666666666666666,0.3333333333333333,0.14285714285714285,0.2,1,6,3,7,5
23,0.7580939792096615,0.857851823,explore,5,0,1,1,1,2,0,0.16666666666666666,0.3333333333333333,0.14285714285714285,0.3333333333333333,1,6,3,7,6
24,0.10124968038871884,0.85292556,explore,4,0,1,1,2,2,0,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333,1,6,3,8,6
25,0.565036193234846,0.848013225,explore,2,0,1,1,2,2,0,0.14285714285714285,0.3333333333333333,0.25,0.3333333333333333,1,7,3,8,6
26,0.8570024510845542,0.843114818,EXPLOIT,5,0,1,1,2,3,0,0.14285714285714285,0.3333333333333333,0.25,0.42857142857142855,1,7,3,8,7
27,0.7846439960412681,0.838230339,explore,2,0,1,1,2,3,0,0.125,0.3333333333333333,0.25,0.42857142857142855,1,8,3,8,7
28,0.509318403666839,0.833359788,explore,1,1,1,1,2,3,0.5,0.125,0.3333333333333333,0.25,0.42857142857142855,2,8,3,8,7
29,0.5354052390903234,0.828503165,explore,4,1,1,1,2,3,0.5,0.125,0.3333333333333333,0.2222222222222222,0.42857142857142855,2,8,3,9,7
30,0.3054930667858571,0.82366047,explore,2,1,1,1,2,3,0.5,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.42857142857142855,2,9,3,9,7
31,0.619057341478765,0.8188317030000001,explore,2,1,1,1,2,3,0.5,0.1,0.3333333333333333,0.2222222222222222,0.42857142857142855,2,10,3,9,7
