iteration,choice,cr1,cr2,cr3,cr4,cr5,mu1,mu2,mu3,mu4,mu5,n1,n2,n3,n4,n5,p1,p2,p3,p4,p5
0,NA,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0.2,0.2,0.2,0.2,0.2
1,3,0,0,0,0,0,0,0,0,0,0,10,10,11,10,10,0.2,0.2,0.2,0.2,0.2
2,2,0,0,0,0,0,0,0,0,0,0,10,11,11,10,10,0.2,0.2,0.2,0.2,0.2
3,3,0,0,0,0,0,0,0,0,0,0,10,11,12,10,10,0.2,0.2,0.2,0.2,0.2
4,4,0,0,0,1,0,0,0,0,0.09090909090909091,0,10,11,12,11,10,0.166324454626212,0.166324454626212,0.166324454626212,0.33470218149515185,0.166324454626212
5,2,0,0,0,1,0,0,0,0,0.09090909090909091,0,10,12,12,11,10,0.166324454626212,0.166324454626212,0.166324454626212,0.33470218149515185,0.166324454626212
6,1,0,0,0,1,0,0,0,0,0.09090909090909091,0,11,12,12,11,10,0.166324454626212,0.166324454626212,0.166324454626212,0.33470218149515185,0.166324454626212
7,4,0,0,0,1,0,0,0,0,0.08333333333333333,0,11,12,12,12,10,0.16953672604899284,0.16953672604899284,0.16953672604899284,0.32185309580402865,0.16953672604899284
8,4,0,0,0,1,0,0,0,0,0.07692307692307693,0,11,12,12,13,10,0.17220338804661997,0.17220338804661997,0.17220338804661997,0.31118644781352023,0.17220338804661997
9,1,0,0,0,1,0,0,0,0,0.07692307692307693,0,12,12,12,13,10,0.17220338804661997,0.17220338804661997,0.17220338804661997,0.31118644781352023,0.17220338804661997
10,5,0,0,0,1,1,0,0,0,0.07692307692307693,0.09090909090909091,12,12,12,13,11,0.1466397862069823,0.1466397862069823,0.1466397862069823,0.2649908035812338,0.2950898377978193
11,5,0,0,0,1,2,0,0,0,0.07692307692307693,0.16666666666666666,12,12,12,13,12,0.11889034842513299,0.11889034842513299,0.11889034842513299,0.21484516434550527,0.4284837903790958
12,5,0,0,0,1,2,0,0,0,0.07692307692307693,0.15384615384615385,12,12,12,13,13,0.12387507614345292,0.12387507614345292,0.12387507614345292,0.22385299938044445,0.40452177218919677
13,5,0,0,0,1,2,0,0,0,0.07692307692307693,0.14285714285714285,12,12,12,13,14,0.12807453765700422,0.12807453765700422,0.12807453765700422,0.23144179032094458,0.38433459670804276
14,1,0,0,0,1,2,0,0,0,0.07692307692307693,0.14285714285714285,13,12,12,13,14,0.12807453765700422,0.12807453765700422,0.12807453765700422,0.23144179032094458,0.38433459670804276
15,5,0,0,0,1,2,0,0,0,0.07692307692307693,0.13333333333333333,13,12,12,13,15,0.13164876785888247,0.13164876785888247,0.13164876785888247,0.23790073408974646,0.36715296233360617
