iteration,choice,cr1,cr2,cr3,cr4,cr5,b1.1,b1.2,b2.1,b2.2,b3.1,b3.2,b4.1,b4.2,b5.1,b5.2,pd1,pd2,pd3,pd4,pd5,n1,n2,n3,n4,n5
0,NA,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.2755051366984844,0.5865243729203939,0.5283410339616239,0.9941587806679308,0.47074480308219796,0,0,0,0,0
1,4,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,0.4798669116571545,0.916933143278584,0.2497009092476219,0.39340751244400207,0.240485112182796,0,0,0,1,0
2,2,0,0,0,0,0,1,1,1,2,1,1,1,2,1,1,0.050885535310953856,0.5683409992291976,0.3943477987777442,0.48604365154640944,0.5536988615058362,0,1,0,1,0
3,2,0,0,0,0,0,1,1,1,3,1,1,1,2,1,1,0.8970048127230258,0.16692562315090126,0.4512521370779723,0.4175362095124728,0.17089991946704686,0,2,0,1,0
4,1,0,0,0,0,0,1,2,1,3,1,1,1,2,1,1,0.03747301420653438,0.25758407226523866,0.8714495366439223,0.3683428343032595,0.4560043292585761,1,2,0,1,0
5,3,0,0,0,0,0,1,2,1,3,1,2,1,2,1,1,0.3835411908429876,0.07631316324251927,0.1115452555544701,0.4591338738643691,0.2076377500779927,1,2,1,1,0
6,4,0,0,0,0,0,1,2,1,3,1,2,1,3,1,1,0.771024481368314,0.5049665386180056,0.29603729032149423,0.021329700360197063,0.23200250579975543,1,2,1,2,0
7,1,0,0,0,0,0,1,3,1,3,1,2,1,3,1,1,0.19158040944079482,0.3852144607122561,0.5964538347335845,0.4527373148280593,0.8606750681065023,2,2,1,2,0
8,5,0,0,0,0,1,1,3,1,3,1,2,1,3,2,1,0.035798973820011605,0.37991941601526813,0.6866477881104994,0.21662094764103085,0.5998462075663776,2,2,1,2,1
9,3,0,0,1,0,1,1,3,1,3,2,2,1,3,2,1,0.2743680663912102,0.42366656096380706,0.8004847418545742,0.20753269855553175,0.3020170882403366,2,2,2,2,1
10,3,0,0,1,0,1,1,3,1,3,2,3,1,3,2,1,0.49131995179560506,0.6285295869776967,0.7371227506309056,0.8553948722366285,0.9277979209093957,2,2,3,2,1
11,5,0,0,1,0,1,1,3,1,3,2,3,1,3,2,2,0.24340998757221588,0.17131657337487657,0.17834913977855987,0.3905722358888168,0.3911513397148816,2,2,3,2,2
12,5,0,0,1,0,2,1,3,1,3,2,3,1,3,3,2,0.2247884433188665,0.4086748346436445,0.5675675902493471,0.4424290296202718,0.39386478750058496,2,2,3,2,3
13,3,0,0,1,0,2,1,3,1,3,2,4,1,3,3,2,0.1453827551138493,0.11915222502734607,0.7699780646849288,0.02954354062673369,0.3302165127215711,2,2,4,2,3
14,3,0,0,1,0,2,1,3,1,3,2,5,1,3,3,2,0.5020021157891872,0.06943978393482894,0.23691348079534502,0.5767948169136711,0.45498741825662764,2,2,5,2,3
15,4,0,0,1,1,2,1,3,1,3,2,5,2,3,3,2,0.08332618429998408,0.3294667437320977,0.340120259201975,0.48621734602079225,0.182842552181825,2,2,5,3,3
16,4,0,0,1,2,2,1,3,1,3,2,5,3,3,3,2,0.3679477329478792,0.13824055129129623,0.4422569968736423,0.3414254429223279,0.5387510909531343,2,2,5,4,3
17,5,0,0,1,2,3,1,3,1,3,2,5,3,3,4,2,0.22633766505624872,0.2013003816756869,0.38254390045681874,0.21661128888615636,0.9404409254010934,2,2,5,4,4
18,5,0,0,1,2,3,1,3,1,3,2,5,3,3,4,3,0.006881090619314381,0.3907288398901473,0.28299857173286513,0.29922464695655815,0.920132200742105,2,2,5,4,5
19,5,0,0,1,2,4,1,3,1,3,2,5,3,3,5,3,0.27946686884088007,0.12452297171436458,0.3015602984723283,0.8008816623834887,0.5565776943303226,2,2,5,4,6
20,4,0,0,1,3,4,1,3,1,3,2,5,4,3,5,3,0.7554893039225645,0.044493293765677594,0.5422764530696115,0.39343966314845225,0.5699875029841734,2,2,5,5,6
21,1,0,0,1,3,4,1,4,1,3,2,5,4,3,5,3,0.14907047576805316,0.23512951425547823,0.2382329901382521,0.5089865715486314,0.7202632219446261,3,2,5,5,6
22,5,0,0,1,3,5,1,4,1,3,2,5,4,3,6,3,0.24130066346317236,0.019841788445286168,0.2642497331708857,0.3556506757704901,0.7388749135590638,3,2,5,5,7
23,5,0,0,1,3,5,1,4,1,3,2,5,4,3,6,4,0.0014889514405980761,0.35656552991589024,0.22929332260575203,0.49448190574984163,0.4261770112884744,3,2,5,5,8
24,4,0,0,1,4,5,1,4,1,3,2,5,5,3,6,4,0.25734361540861345,0.3486624868423611,0.4545143592033332,0.5547036147042167,0.6239715113357782,3,2,5,6,8
25,5,0,0,1,4,6,1,4,1,3,2,5,5,3,7,4,0.05842595633580091,0.02396831945765682,0.5513859324098344,0.5905260738239153,0.5814735503086418,3,2,5,6,9
26,4,0,0,1,4,6,1,4,1,3,2,5,5,4,7,4,0.04101726369679062,0.2530217694539075,0.27435642678848543,0.4549988719184445,0.4208410833735649,3,2,5,7,9
27,4,0,0,1,4,6,1,4,1,3,2,5,5,5,7,4,0.11403706575855399,0.13935753861110967,0.17891442537727772,0.7968291025657426,0.8074896244746761,3,2,5,8,9
28,5,0,0,1,4,7,1,4,1,3,2,5,5,5,8,4,0.2872299789746008,0.3113272392063956,0.3402697209352952,0.5950741222003029,0.7131572706259814,3,2,5,8,10
29,5,0,0,1,4,7,1,4,1,3,2,5,5,5,8,5,0.12414409682508956,0.14815565664598251,0.19499765673202213,0.5149384684373443,0.7693963374790647,3,2,5,8,11
30,5,0,0,1,4,7,1,4,1,3,2,5,5,5,8,6,0.15314446434372866,0.10986838873881481,0.24654091574527828,0.522041347000761,0.49907736496361216,3,2,5,8,12
31,4,0,0,1,5,7,1,4,1,3,2,5,6,5,8,6,0.04369590170903516,0.2905323894062835,0.3796769630991124,0.40239209919657926,0.6640722084582509,3,2,5,9,12
32,5,0,0,1,5,8,1,4,1,3,2,5,6,5,9,6,0.03064494553477657,0.3122458523734992,0.37913242593882995,0.5514708601679735,0.6244353607729602,3,2,5,9,13
33,5,0,0,1,5,9,1,4,1,3,2,5,6,5,10,6,0.14193327380658957,0.2491646875716812,0.6294645573305232,0.4733439705298226,0.782975755886674,3,2,5,9,14
34,5,0,0,1,5,9,1,4,1,3,2,5,6,5,10,7,0.28564119619134126,0.43693942994254814,0.20712344175568104,0.4098700557274809,0.7232346904336884,3,2,5,9,15
35,5,0,0,1,5,9,1,4,1,3,2,5,6,5,10,8,0.40311495778517886,0.08920593182423632,0.074873763433465,0.7994380998611692,0.6656419564121657,3,2,5,9,16
36,4,0,0,1,5,9,1,4,1,3,2,5,6,6,10,8,0.35174070166227744,0.7309624883175087,0.4804838603933421,0.42095761896448014,0.6638442020133185,3,2,5,10,16
37,2,0,0,1,5,9,1,4,1,4,2,5,6,6,10,8,0.0429521657061874,0.008866924033097695,0.3870531386095275,0.48965546991954484,0.19191659311529713,3,3,5,10,16
38,4,0,0,1,6,9,1,4,1,4,2,5,7,6,10,8,0.12187003341813978,0.29426361132659573,0.516060721251415,0.6181072246662027,0.6044966336753196,3,3,5,11,16
39,4,0,0,1,6,9,1,4,1,4,2,5,7,7,10,8,0.3439417014973025,0.04930456815326156,0.274214890651981,0.6154344635929319,0.6312500516929747,3,3,5,12,16
40,5,0,0,1,6,9,1,4,1,4,2,5,7,7,10,9,0.49373351967324153,0.09333142468988376,0.2519451695736266,0.8259432277862708,0.4520023705956295,3,3,5,12,17
41,4,0,0,1,6,9,1,4,1,4,2,5,7,8,10,9,0.17951840294876184,0.33910263441185895,0.1031926191782846,0.25814021897374684,0.44821694918043287,3,3,5,13,17
42,5,0,0,1,6,10,1,4,1,4,2,5,7,8,11,9,0.13614392623076615,0.16012508435123723,0.44821489327540603,0.3784071485303265,0.37462847741288097,3,3,5,13,18
43,3,0,0,1,6,10,1,4,1,4,2,6,7,8,11,9,0.622458958060657,0.0864492487161313,0.45125262039695063,0.5077579841072896,0.6727358536048403,3,3,6,13,18
44,5,0,0,1,6,10,1,4,1,4,2,6,7,8,11,10,0.4917704792536863,0.072653510653178,0.13071143775084082,0.4294113132961841,0.6126565646704146,3,3,6,13,19
45,5,0,0,1,6,10,1,4,1,4,2,6,7,8,11,11,0.059597739845169334,0.03715523945286187,0.1114315825628716,0.2958129901600767,0.6129373401230457,3,3,6,13,20
46,5,0,0,1,6,10,1,4,1,4,2,6,7,8,11,12,0.030538440150507568,0.1559659115292114,0.15781717672473475,0.5107805061389863,0.34278586322032045,3,3,6,13,21
47,4,0,0,1,6,10,1,4,1,4,2,6,7,9,11,12,0.40066429509423895,0.2225363693724223,0.30123470809529246,0.6300141604455015,0.4811910077740928,3,3,6,14,21
48,4,0,0,1,7,10,1,4,1,4,2,6,8,9,11,12,0.05960248731003966,0.5784563176363923,0.4157183626550663,0.32824861919911213,0.5181580392851977,3,3,6,15,21
49,2,0,0,1,7,10,1,4,1,5,2,6,8,9,11,12,0.21897993643286426,0.5194521910204428,0.3443314114796093,0.4939183125150961,0.5324964145695994,3,4,6,15,21
50,5,0,0,1,7,11,1,4,1,5,2,6,8,9,12,12,0.615958140141737,0.13336576981029136,0.1578067485206659,0.5663826787058354,0.5761026446654645,3,4,6,15,22
51,1,0,0,1,7,11,1,5,1,5,2,6,8,9,12,12,0.0609194318202617,0.535294592043246,0.10261793349441528,0.6072631857270445,0.5766563311522791,4,4,6,15,22
52,4,0,0,1,7,11,1,5,1,5,2,6,8,10,12,12,0.036142771743567156,0.22655565792625518,0.246295793185882,0.3878747011599762,0.31537954381965994,4,4,6,16,22
53,4,0,0,1,7,11,1,5,1,5,2,6,8,11,12,12,0.2561326518657808,0.367355154288519,0.2988585122402804,0.5787880739607667,0.36787534306283987,4,4,6,17,22
54,4,0,0,1,7,11,1,5,1,5,2,6,8,12,12,12,0.10360597287281852,0.45412041876297743,0.6675744672942842,0.43400879577696766,0.3909515438964149,4,4,6,18,22
55,3,0,0,2,7,11,1,5,1,5,3,6,8,12,12,12,0.2796519460149347,0.03662037965868636,0.30258267680070133,0.31537835023432376,0.6142445375297868,4,4,7,18,22
56,5,0,0,2,7,12,1,5,1,5,3,6,8,12,13,12,0.06836445195052356,0.3008234032040694,0.5990038924638631,0.35499643532820885,0.6038640159873325,4,4,7,18,23
57,5,0,0,2,7,12,1,5,1,5,3,6,8,12,13,13,0.129162452378546,0.2513228062417488,0.4004067749051208,0.4099488017938691,0.4689430332427693,4,4,7,18,24
58,5,0,0,2,7,13,1,5,1,5,3,6,8,12,14,13,0.30942627054726624,0.3285482500351581,0.5372173615737545,0.24407811508256147,0.5596193807064447,4,4,7,18,25
59,5,0,0,2,7,13,1,5,1,5,3,6,8,12,14,14,0.11291253042634167,0.38591368860730985,0.10469863282992391,0.17089612805760254,0.43711179779412146,4,4,7,18,26
